question,level
The first four moments of distribution about working mean 3.,Application
Explain the working of an universal motor with help of suitable diagram.,Knowledge
Explain difference between squirrel cage induction motor and slip ring induction motor.,Knowledge
What is method overriding?,Knowledge
"Define plastic hinge, load factor and shape factor.",Knowledge
Define Task Switching and explain the steps involved in task switching operation?,Analysis
What do you mean by equality of sets.,Knowledge
Astring is stretched and fastened to two points L apart.,Application
Explain the stack organization and enlist instructions related to stack.,Comprehension
What is semaphore?,Knowledge
Write Note on Aluminum and its Alloy.,Knowledge
State four temperature scale available give conversion formulae of it.,Knowledge
What is package in Java?,Knowledge
Explain the operation of Wien bridge oscillator with neat circuit diagram.,Comprehension
What are dirichlet conditions for existence of fourier series.,Knowledge
Write down the Applications of Nanomaterials in chemical industry.,Application
Differentiate between Cysteine and Cystine.,Analysis
List and explain various features of virtual 8086 mode.,Knowledge
List the types of Lubricants with at list two examples.,Knowledge
What are the elements that exist when an effective SCM system is implemented?,Knowledge
Explain various debugging feature of 80386.,Comprehension
Explain in detail vulnerabilities of Internet of Things.,Knowledge
Explain with neat sketch variable head permeability test.,Comprehension
Explain the working of SMPS with neat diagram?,Analysis
Explain the working of hydrogen fuel cell.,Knowledge
Explain the page translation process in 80386.,Analysis
What is friend function?,Knowledge
Define following terms,Knowledge
What is file?,Knowledge
Explain any one electrical method for measurement of level.,Application
Define lightweight concrete?,Knowledge
Develop relation between ‘Z’ parameter and transmission parameter .,Analysis
Explain the process Biomass energy conversion.,Knowledge
Explain with suitable example SQL aggretage functions.,Knowledge
What is generic programming?,Knowledge
Describe the following systems in renewable energy system.,Knowledge
What are fractals?,Knowledge
Explain what you understand by A.,Knowledge
The life time of a certain component has a normal distribution with mean of 400 hours and standard deviation of 50 hours.,Application
Derive an expression for line to neutral capacitance of three phase overhead line with unsymmetrical spacing of conductors.,Application
Define Project Scheduling.,Knowledge
Describe the advantages of hydroelectric power plant.,Knowledge
"Let  7,1 3 XB  be the Binomial distribution with parameters n = 7 and p = 1/3. Then   25 px px   is",Analysis
Discuss the methods of synthesis of furan and pyrrole.,Analysis
What are Micro instructions? Draw and explain micro-programmed control unit design.,Knowledge
Derive an equation for length of cross belt drive.,Analysis
What are the symptoms and diagnosis of distress of concrete?,Knowledge
Explain types of densitometers.,Knowledge
What are the different types of appraisals required to undertake any Project?,Knowledge
What is the difference between dielectric material and insulating material?,Analysis
Explain the structure of a V86 Task in detail.,Analysis
An orifice meter with orifice diameter 15cm is inserted in a pipe of 30cm diameter the pressure difference measured by a mercury oil differentialmanometer on the two sides of the orifice meter gives a reading of 50 cmof mercury.,Application
What do you mean by triangulation and trilateration in geodetic survey?,Knowledge
A Vertical vessel with a cylindrical shell and hemispherical heads is to be installed in a closed shed.,Knowledge
What are the measure of query cost?,Knowledge
Show that (Any one):,Analysis
List and explain four common examples of exceptions.,Analysis
A 2m long column has a circular cross section of 6cm diameter.,Application
Explain voltage to current source transformation.,Comprehension
Draw a neat diagram of fluidized bed type catalytic cracking process.,Knowledge
Calculate the heat of reaction at 298.,Knowledge
Explain in detail the working of square wave generators with a neat circuit diagram.,Knowledge
Explain the various losses in transformer?,Knowledge
What is a two port network?,Knowledge
What are polar plots?,Knowledge
Write down paper characteristics.,Knowledge
State the following properties of fourier series.,Knowledge
Derive an expression for capacitance of three phase line when conductors are unsymmetrically spaced but transposed.,Analysis
List and explain the different metrics in the process and project domain.,Knowledge
"Determine the deflection and slope at the free end of cantilever beam of span ‘ l’ m, loaded with central point load ‘w’ kN.",Application
Enlist non destructive tests for concrete.,Knowledge
Draw and explain the general structure of PLA.,Knowledge
Define the following terms.,Knowledge
Explain the operation of SR flip flop with truth table.,Comprehension
Explain the working of PV Cell and Simplest Equivalent Circuit for a Photovoltaic Cell.,Comprehension
Define Industrial Engineering.,Knowledge
State any six properties of Fourier Transform.,Knowledge
Write a note on lapping process.,Knowledge
Explain the procedure for finding slope and deflection for a cantilever beam with a point load at free end Double integration method.,Analysis
Describe the process of using the STL algorithms for Quick sort.,Analysis
Convert the following expression from Infix to Postfix expression.,Knowledge
State the types of timers.,Knowledge
What are different types of memories?,Knowledge
Velocity of slider D and angular velocity of link CD.,Application
Draw and explain the interfacing diagram of DAC0808 with PIC18FXX microcontroller.,Analysis
Find the multiplicative Inverse of 37 mod 26 using Extended Euclidean Algorithm.,Application
What is thermal bimetal?,Knowledge
Find the inverse Laplace transform of given network given F( s).,Application
What observations and precautions are necessary during Core Drilling for Preliminary Geological Exploration?,Knowledge
Draw the connection diagram of shunt.,Application
Define the following terms w.r.t PLL.,Knowledge
Explain with neat sketch tube drawing process.,Knowledge
Determine slope and deflection for a simply supported beam loaded as shown below.,Application
Explain the working of Pirani Gauge for measurement of pressure.,Application
Discuss the mechanism of E1 and E2 reaction of alkyl halides.,Application
Solve the differential equation ()() ()3dy tytx tdt+= for input ()()2txte u t-= . Assume zero initial conditions.,Application
What is powder Metallurgy?,Knowledge
Explain working of vertical type wind turbine with neat diagram.,Knowledge
Explain UP Counter and DOWN Counter.,Knowledge
A 6pole DC motor with wave connected armature has 87 slots with 6 conductors per slot.,Application
What is voltage regulator?,Knowledge
What are different types of inheritance supported by Java.,Knowledge
Write a difference between procedural and object oriented programming.,Knowledge
Draw a neat sketch of broach and name its different parts.,Knowledge
Write down the causes and consequences of acute pancreatitis.,Knowledge
Explain the working of armature controlled D.,Comprehension
Explain the working of Digital to analog converter.,Analysis
Evaluate ˆ.,Evaluation
Explain Intel i860 processor with block diagram.,Knowledge
Explain with neat diagram how is Lissajous pattern used for phase measurement?,Application
What are the qualities of good drug?,Knowledge
State various obstacles in setting out curves.,Knowledge
Explain the Gauss Elimination method used for the solution of the linear simultaneous equation.,Knowledge
From the given traversal construct the binary tree.,Application
SO2 is absorbed in water using a packed column operated at constant T and P.,Application
Compare DFS and BPS.,Analysis
Implement a full-adder using Demultiplexer.,Application
Compare SLL with DLL?,Analysis
Explain influence of geological conditions on the choice and type of dam.,Analysis
Explain following instruction used in C languages.,Comprehension
Write a short note on Ocean thermal energy conversion.,Knowledge
Design low pass first order Butterworth filter having cut off frequency 1 kHz with  passband gain of 2.,Application
Explain Gibbs phase rules for metallurgical application?,Knowledge
Consider the following processes where arrisal and barst time are as given below. Calculate the average waiting time and average turn aroundtime if the processes are scheduled using FCFS.,Application
Explain method overriding with a suitable example program.,Knowledge
Discuss any three terminology related to psychometric.,Knowledge
Explain with neat circuit diagram working of inverting precision full wave rectifier with its waveform.,Comprehension
A PIC 18 is connected to the 4MHz crystal oscillator.,Application
Explain the working principle of McLeod low pressure vacuum gauge. With neat sketch.,Knowledge
A 250 V DC shunt motor with armature resistance of 0.,Application
Explain PI and PD controller in brief with suitable examples.,Knowledge
What is software quality?,Knowledge
Discuss the working of thermocouples using seebeck effect with diagram.,Comprehension
What are the advantages of Digital Storage oscilloscope over Dual Trace oscilloscope.,Comprehension
"In a magnetic material, hysteresis loss is 150 W when maximum flux density of 1.3 tesla and frequency is 50 Hz. What would be hysteresisloss if flux density is decreased to 0.8 tesla and frequency is increased to 60 Hz? Assume that hysteresis loss is proportional to (B m)1.7.",Application
State the difference between character and byte stream in Java.,Application
State the objectives of supercharging of engine.,Knowledge
Draw neat diagram and waveforms of single phase half wave rectifier with resistive load.,Application
With the help of neat diagram explain working of symmetrical schmitt trigger?,Analysis
Explain any three operations on sequential file organization with example.,Knowledge
The principal tensile stresses at a point across two perpendicular planes are 100 MPa and 50 MPa.,Application
Write note on automated assembly line for car manufacturing.,Knowledge
Calculate the machining time required for 3 passes while reducing 60 mm diameter shaft to 50 mm diameter for a length of 1200 mm with depth ofcut of 2 mm for rough cut and 1 mm for finish cut.,Application
What is call gate?,Knowledge
Differentiate between Relation and functions.,Analysis
A crude oil of viscosity 0.,Application
With suitable circuit diagram explain no load and blocked rotor test on 3 phase induction motor.,Application
Find the expected value of the sum of the faces obtained when two fair dice are tossed simultaneously.,Application
Draw and explain detail block diagram of hardwired control unit.,Comprehension
Explain flow duration curve and hydrograph with example.,Comprehension
Write an algorithm for evaluating  a postfix expressioin using stack.,Comprehension
Explain with suitable example the three storage structures for the graph.,Knowledge
Write short note on applications of recorders.,Application
Compare SSB and VSB.,Analysis
Write a short note on Geothermal energy.,Knowledge
Explain various specification of ADC.,Knowledge
The postorder and inorder traversals of a binary tree are given below.,Comprehension
Explain the factors for selection of motor for an EV .,Knowledge
Evaluate  Sxiy j z k d s   over the surface of sphere 22 21 xyz,Application
Define the following terms with example with respect to Binary Tree:,Knowledge
Explain the difference between array representation and linked representation of binary tree.,Knowledge
Draw a neat diagram of DSO.,Knowledge
What is filter medium?,Knowledge
Explain with example hash functions.,Knowledge
What is an identity element in Group?,Knowledge
Describe the characteristics of an entrepreneurship.,Knowledge
Describe Ram type Injection molding with sketch.,Knowledge
What is Backface?,Knowledge
Consider the following processes arrival time and burst time are as shown.,Application
A Cantilever beam of span 2.,Application
Explain role of telecommunication.,Knowledge
Give the applications of Two Port Network Parameters and Explain Network Stability.,Knowledge
What do you mean by excitation table of flip flop?,Knowledge
What is the significance of coating on the material properties?,Knowledge
Draw the phasar diagram of 3 phase induction motor.,Knowledge
Determine the vertical displacement of the joint C of the pin jointed frame as shown in figure below.,Analysis
Describe Exception.,Knowledge
Derive the expression for loop inductance of single phase overhead lines.,Analysis
Write Note on ‘Electric Vehicles’,Knowledge
Define PDF and CDF.,Knowledge
Explain the working of Half wave Precision Rectifier with appropriate equations.,Comprehension
What is Exception handing? How to handle Exception in Java?,Knowledge
Write down the steps to be followed to transfer a data serially using 8051 microcontroller.,Knowledge
Explain working of IC 555 astable multivibrator.,Comprehension
Explain the following parameter of OP-AMP,Knowledge
A doubly linked list with numbers to be created.,Application
Explain with a neat diagram winter air conditioning.,Application
Index for 87 divisions by compound indexing using following Brown and Sharpe Plate.,Application
What are the factors affecting on Price Determination?,Knowledge
Write a python program to create a linked list and perform operations on the list.,Application
What are the file access methods?,Knowledge
Distinguish between DM and ADM.,Knowledge
Describe the following sytesm in renewable energy system.,Knowledge
"The input to 3 phase, 6 pole, 50 Hz, induction motor is 47 kWatt at certain load. The stator losses are 1.5 kWatt and mechanical losses are1k Watt. Determine the HPoutput power of motor when it runs at 970rpm. (Take 1 HP = 746 watt)",Application
Explain the change control mechanism in SCM.,Knowledge
Define Graph.,Comprehension
Design a Francis turbine runner with the following data.,Application
A box contains 100 bulbs out of which 10 are defective.,Application
Define polymorphism?,Knowledge
What is height balanced tree?,Knowledge
 Explain different four types of flows in open channel.,Comprehension
What are sound displays in Virtual Reality?,Knowledge
Explain types of queues. Write any one in detail.,Knowledge
Draw drain characteristics of for n channel JFET.,Knowledge
What is time constant?,Knowledge
State three types of resistance welding.,Knowledge
Explain Black box testing with its advantages.,Analysis
What are the innovation challenges in design thinking.,Analysis
Explain Triadic curve and give its fractal dimension.,Analysis
Find Z parameters of the network shown in figure no.,Analysis
Write a program that returns the size in bytes of a program entered on the command line.,Analysis
With suitable block diagram explain working of electronic energy meter.,Application
"Discuss the feasibility of dam site, with dipping and horizontal strata.",Knowledge
Explain in brief the mesh selection criteria for screen printing applications.,Application
Explain generation of sine waveform using OPAMP. Draw input & output wave froms,Knowledge
Explain Vacuum forming in Plastics.,Knowledge
Explain the six regimes of the pool boiling curve with the help of a neat diagram.,Knowledge
Explain the construction and working principle of universal motor.,Comprehension
Enlist  various linear methods of setting out curves and explain any one with sketch.,Knowledge
What are the salient features of Green Building?,Knowledge
Draw and explain block diagram of PLC.,Comprehension
Explain Normal combustion and abnormal combustion Phenomena in SI engine.,Knowledge
Draw the flow sheet for manufacturing of Cemented Carbide.,Knowledge
Explain principle of resistance welding with neat sketch.,Knowledge
Prove that expression for laminar flow of fluid.,Knowledge
Explain Reynolds Number with example.,Knowledge
State the necessity of FRL unit in Pneumatic System.,Comprehension
Enumerate the selection of motors depending on load characteristics.,Knowledge
Write a note on elements of a Configuration Management System.,Knowledge
What is cost of quality?,Knowledge
A cast iron pipe of internal diameter 450 mm is 15 mm thick and is supported on a span of 8 m.,Application
Enlist the advantages and disadvantages of DLL over SLL.,Knowledge
Explain in brief a manufacturing process of urea from ammonium carbamate.,Knowledge
Explain with neat diagram 2 input CMOS NOR gate.,Comprehension
What are various types of welding joints used in pressure vessels?,Knowledge
What are the applications of Animal Cell Culture?,Knowledge
List and explain the necessary and sufficient conditions for Hamiltonian and eulerian path with suitable examples.,Knowledge
Draw neat circuit diagram and explain voltage follower.,Comprehension
What is design pattern?,Knowledge
How are Hydroelectric power plants classified?,Knowledge
Determine maximum slope and deflection for a simply supported beam shown in figure below.,Application
What are Packages and Interface in Java.,Knowledge
Explain Interfaces in Linux.,Knowledge
Describe the cold and hot weather concreting.,Knowledge
Demonstrate the various types of chips formed during metal cutting.,Knowledge
Draw and Explain working of SCR.,Comprehension
Elaborate about enabling and disabling interrupts in 80386.,Analysis
Describe the types of wind turbine electrical generators.,Knowledge
Differentiate between Terrestrial photogrammetry and Aerial photogrammetry?,Knowledge
Discuss the steps in executing interrupts in PIC 18 microcontroller.,Knowledge
What do you mean by network crashing?,Knowledge
Explain linked organization with respect to file handling.,Knowledge
Compare React JS and Angular JS and Vue JS.,Application
An oil of specific gravity 0.,Application
A riddle is given to three students to solve independently.,Application
Explain the working of PV cell and simplest Equivalent Circuit for a photovoltaic Cell.,Comprehension
Differentiate between Orthographic Projection and Isometric Projection.,Analysis
With suitable diagram explain constructional details of 3 phase slipring induction motor,Knowledge
The bar has a diameter of 40mm.,Application
Explain the rules for constructing the ladder diagram of PLC.,Knowledge
Explain the various methods of speed control of Dc series motor?,Knowledge
Explain briefly EDM process characteristics.,Knowledge
Elaborate the Postfix evaluation algorithm stepwise.,Knowledge
What do you mean by section modulus?,Knowledge
What is mean by composites?,Knowledge
Depict the figure showing he feeder pathways for glycolysis.,Knowledge
Determine capacitance per phase per km of three phase transmission line when conductors are arranged in horizontal plane and 4 meter apart.,Application
Enlist various types of residential buildings and explain any one in detail.,Knowledge
Draw and explain characteristics of LVDT.,Analysis
Draw and explain the Backward feed multiple effect evaporator.,Analysis
Discuss the merits of circular queue over linear queue and write sudo code for over flow and under flow conditions of circular queue.,Analysis
What is 2D rotation of an object about an arbitrary point?,Knowledge
What is voltage regulator? Write any two applications of voltage regulator.,Knowledge
What is Design?,Knowledge
Find maximum flow in the transport network using labeling procedure.,Application
State the types of starters used for induction motors.,Knowledge
Derive the expression for attenuation constant and Phase shift of proto type constant K high pass filter.,Analysis
Explain addressing modes of 8086.,Comprehension
Write short note on RS232 standard.,Knowledge
State the following properties of DT fourier series.,Knowledge
Discuss briefly energy band in conductor and insulator.,Knowledge
Draw the router architecture.,Knowledge
Write a program to turn off LED for connected to Port 0 when interrupt 0 occurs and turn it on when interrupt 1 occurs.,Application
To find out coefficient of permeability of clay the permeability test was carried out in a variable head permeameter having the diameter of thesample container to be 100 mm.,Analysis
A rectangular block of material is subjected to stresses on perpendicular faces as shown in figure 4.,Application
Explain fluidization with its type and application?,Comprehension
Explain interrupt structure of 8051 microcontroller with neat diagram.,Knowledge
Write a program in C to configure Port 1 as input port and Port pin P2.,Application
Write limitations of arrays over linked list?,Knowledge
Convert the following infix expressions to prefix expressions using stock.,Application
Derive an expression for the capacitance to neutral of a three phase line with equilateral spacing.,Analysis
Explain in detail distortion in delta Modulation.,Knowledge
Discuss Link State Routing protocol in detail.,Knowledge
Distinguish between buckle and knife folding mechanism with suitable diagram.,Analysis
Explain Memory Partitioning in memory management.,Knowledge
Two straights PI and QI meet at chainage of 1250 m. A right handed simple circular curve of 250 m radius joins them. The deflection anglebetween two straights is 30 °. Tabulate the necessary data to layout the curve by Offset from long chord. Take chord interval as 10 m.,Application
Explain practical differentiator circuit with neat circuit diagram. What are the limitation of ideal differentiator.,Knowledge
Distinguish singly linked list and doubly linked list.,Knowledge
Give the properties and application of Manganin.,Comprehension
"Consider the following page reference string A,B,C,D,A,B,E,A,B,C,D,E. Calculate page fault with FIFO page replacement algorithm when framesize is 4.",Application
With neat diagram explain working of IC 555 as a Monostable Multivibrator.,Knowledge
Find the Fourier Transform of a constant signal AO.,Application
Explain the working of diaphragm type elastic pressure transducer. With the help of diagram show. how strain gauges are mounted on it.,Knowledge
What is Software Architecture?,Knowledge
Design an adjustable voltage regulator using LM 317 for output voltage from 10 to 20 V and draw the typical connection diagram.,Application
List and explain file types and file access methods.,Knowledge
Explain various rules for development of Ladder diagram.,Analysis
Explain segment address translation in detail.,Comprehension
Enlist and explain Component level design steps in detail.,Knowledge
What is operator overloading?,Knowledge
Explain Steps to transfer Data Serially in 8051 microcontroller.,Knowledge
What is VHDL?,Knowledge
Explain in brief various retrofitting techniques used to strengthening RCC column and beams.,Comprehension
Explain Edge connectivity and Vertex Connectivity with suitable example.,Analysis
What is fold?,Knowledge
Derive Trapezoidal rule for numerical integration as a special case of Newton’s Cote formula.,Analysis
Explain the supercharging with neat sketch.,Knowledge
A dice is thrown 10 times.,Application
What are the geological requirement for the foundation of dam?,Knowledge
What is navigation and manipulation interfaces in virtual reality system?,Knowledge
Draw a labelled sketch of twist drill and explain its terminology.,Knowledge
Derive expression for the pressure drop for a steady laminar flow through circular pipe.,Analysis
Explain the architecture of PLC with neat diagram.,Knowledge
Draw and explain general structure of PAL.,Knowledge
Explain in brief the direct screen stencil making process.,Knowledge
What is Socket?,Knowledge
Program the 8051 in C to receive bytes of data serially and put them in P2.,Application
Use Gauss Seidel method to solve the following system of equations,Application
A reaction turbine works at 450 r.,Application
Explain software reuse.,Knowledge
Explain different types of constrained motion with neat sketch.,Comprehension
Solve the heat equation.,Application
Explain Normal combustion and abnormal combustion Phenomena in SI engine.,Knowledge
Define the components of LINUX system with diagram.,Knowledge
Use the Gauss Jordan method to find the inverse of the following matirx.,Application
Write an algorithm for searching an element using Fibonacci search method.,Knowledge
Evaluate by Gaun divergence theorem333.,Application
Write short note on Interrupt enable register.,Knowledge
Define the different categories of risks?,Knowledge
"Explain in detail the working of dynamometer types wattmeter with a neat diagram. Also, state its advantages and disadvantages.",Knowledge
What is the significance of pressure boosters and elaborate pressure booster in brief.,Knowledge
Explain a ‘C’ function to Insert node in singly linked list.,Application
What is containment?,Knowledge
Explain operating characteristic of centrifugal pump?,Analysis
What is a solar collector?,Knowledge
Explain the behavioral modeling in Virtual Reality.,Analysis
Discuss the design procedure of spur gears.,Analysis
State  any one application of-,Knowledge
Why 3 phase induction is also called as generalised transformer?,Knowledge
Write a short note on sequential memories.,Knowledge
Show that analytic Function with constant modulus is constant.,Analysis
A 4m length of a tube has a buckling load of 2kN when used as a column hinged at both ends.,Application
Convert the following infix expressions to postfix and show the contents of stack for each operation.,Application
Acircular cantilever beam of span 4Meter is subjected to a point load of 2KN at free end.,Application
What is logic family?,Knowledge
List the differences between CMOS and TTL logic family.,Knowledge
Write a short note on IC LM 317.,Knowledge
"Find bilinear transformation which maps the points 1, i, –1 of z-plane onto the points 0, 1, ∞ of w-plane.",Application
What is a biodegradable polymer?,Knowledge
Derive torque equation of induction type energy meter with usual notations.,Application
Explain construction and principle of working of Centrifugal pump.,Knowledge
Explain the method of reducing cutting forces in sheet metal work.,Knowledge
Comment on flashing in brief and suggest the suitable method used to reduce it.,Comprehension
What is namespace?,Knowledge
The average rate of inflow during 12 months for a river are as under,Application
Which are the common magnetic materials?,Knowledge
Write a note on necessity and types of transition curves.,Knowledge
Describe various types of unconformities with neat sketches.,Knowledge
What is viscosity of ink?,Knowledge
Draw and explain Cluster and Cluster Architectures.,Analysis
Determine the Fourier transform of the following continuous time signals.,Application
State different uses of contour maps?,Knowledge
Explain following QC tools.,Knowledge
Explain significance of any three dimensionless numbers used in various modes of heat transfer for thermal analysis.,Knowledge
Write a program in C language to configure timer 0 of 8051 microcontroller in mode 2 use 8051 XTAL for clock source and start the timer 0.,Application
What are the responsibilities of a safety manager on construction sites?,Application
Explain the construction and operation of permanent magnet stepper motor.,Comprehension
Write algorithm for posfix expression evalution.,Application
What is TDR in constrution?,Knowledge
Differentiate between static and dynamic memory allocation.,Analysis
Explain Filament winding Composite manufacturing process.,Knowledge
Explain Ammonia synthesis converter with a neat figure.,Knowledge
Explain design evaluation cycle.,Knowledge
What is B tree?,Knowledge
Explain the working of PV cell and Simplest Equivalent Circuit for a Photovoltaic cell.,Knowledge
Explain reading  character and string from input console with suitable examples.,Knowledge
State two features each of LAP winding and WA VE winding for DC machine.,Knowledge
Explain geometrical isomerism in compound with one double bond.,Analysis
Classify solid insulating materials according to the temperature ranges. Hence write properties and applications of any two materials from ClassA type.,Knowledge
Explain multistage compression of reciprocating air compressor.,Analysis
Write short note on.,Comprehension
Illustrate with neat sketches common types of welded joints.,Knowledge
A solid cylindrical shaft is required to transmit 600 kW at 110 rpm.,Application
Give detail classification of Heat Exchanger.,Application
Draw and explain the interfacing diagram of strain gauge with Arduino Board showing necessary subsystems.,Comprehension
What is polymorphism?,Knowledge
Give any two points of comparison between LAP winding and WA VE winding for DC machine.,Knowledge
What is DNS?,Knowledge
Give the Dirichlet conditions for Continuous time Fourier Series.,Knowledge
Draw and explain successive approximation A/D converter.,Knowledge
Write in detail about Cori cycle.,Analysis
Explain the significance of a file.,Knowledge
What are the advantages and disadvantages of TBT?,Analysis
Explain the Bezier curve.,Analysis
Evaluate following postfix expression with the help  of stack.,Application
What is Decision Support system?,Knowledge
Explain coordinate system with types in brief?,Knowledge
Obtain the line of Regression of y on x for the following data.,Application
Write a program in C language to enable hardware interrupts INT0 and INT1.,Application
Elaborate Advantages and Disadvantages of LIST Sequential Container.,Knowledge
Draw & explain the working of inclined tube manometer? Give the reason for its higher sensitivity.,Knowledge
State and prove sampling theorem with suitable waveform and mathematical expression?,Analysis
Compare SRAM and DRAM.,Analysis
Describe the historical development of wind turbine on Indian level.,Knowledge
Explain screw thread terminology.,Knowledge
Explain with appropriate example how schedule can be prepare using PERT.,Analysis
Explain in detail corrosion monitoring technique for reinforcement and preventive measures against corrosion.,Comprehension
A solution of 3.,Knowledge
What is accelerometer?,Knowledge
Explain with a neat diagram winter air conditioning.,Application
What is the space complexity of threaded binary tree.,Knowledge
Explain various stages of combustion in S.,Knowledge
Compare open loop and closed loop control systems.,Analysis
Enlist various traps including its functions.,Knowledge
What is dimensionality reduction?,Knowledge
What is operator overloading?,Knowledge
In the circuits in Fig. 2. The switch is closed at  t = 0.,Application
Explain necessity of transposition of line conductors in three phase lines.,Comprehension
Probability of man aged 60 years will live for 70 years is 1 10.,Knowledge
Classify continuous control modes used in process control system and explain PID controller with suitable example.,Analysis
Explain the construction of three phase induction motor?,Knowledge
Explain how koch curves are generated.,Analysis
Define indegree and outdegree of a vertex in graph.,Comprehension
Explain in brief the Characteristics of memory systems.,Knowledge
Explain brief classification of I.,Comprehension
Explain how synchros can used as Error detectors.,Comprehension
What is Microprocessor?,Knowledge
Explain digital control system in detail.,Knowledge
Explain on the Psychrometric Chart following Processes.,Knowledge
Discuss “Swedish Slip Circle Method” for stability analysis of finite slope.,Knowledge
Explain SMPS with block diagram.,Knowledge
What is indexing?,Knowledge
Explain in brief the importance of preliminary geological exploration in civil engineering project.,Knowledge
Define CDF and state any four properties of CDF.,Comprehension
Explain block diagram of digital computer.,Knowledge
Explain the Pneumatic power supply with neat sketch.,Comprehension
What are the salient features of Green building?,Knowledge
Explain in brief four color separation method for screen printing process.,Knowledge
A three span continuous beam ABCD is loaded with ultimate loads as shown in figure 11.,Analysis
Draw and explain the interfacing diagram of DAC0808 with PIC18FXXX.,Knowledge
Explain FM generation by Armstrong method with neat block diagram.,Knowledge
Draw and explain Ring Counter.,Knowledge
What is Real Time Operating Systems?,Knowledge
Explain with appropriate example the feasibility of dam alignment which is crossing DYKE.,Analysis
Write down the steps in executing on an interrupt.,Comprehension
Explain model for network security.,Knowledge
Discuss with an example what is forward reference problem.,Knowledge
What are the different types wet sump lubrication system and explain any one of them.,Knowledge
"A 6 pole, 3 phase induction motor is connected  to 400 volt, 50 Hz ac supply. Calculate- i) the speed of rotating magnetic field of the motor ii) Speed of motor at 3% slip iii) the ro tor emf frequency at 3% slip",Application
Explain the factors affecting Compaction of soil.,Knowledge
If ()2 2V4xyx y=−  is harmonic find its harmonic conjugate and determine F( z) in terms of z.,Application
Describe molecular machines with neat diagrams.,Knowledge
Explain in brief wet and dry lamination methods.,Knowledge
Explain Linux thread management in detail.,Knowledge
Draw and explain the working of a Digital kilo watt Hour Meter.,Knowledge
State and explain the conditions for deadlock to occur.,Knowledge
What are types of acceleration?,Knowledge
Following are the details of Project A and B.,Analysis
What are the problems in RIP?,Knowledge
Find the expected value of the number of heads obtained when three fair coins are tossed simultaneously.,Knowledge
What is Koch curve?,Knowledge
Give types and applications of stepper motor.,Comprehension
The velocity component of 2D flow field are as follows.,Application
Enlist the factors affecting tool life.,Knowledge
A coil which has an inductance of 40mH and a resistance of 2  is connected to form an LR series circuit. If they are connected to a 20VDC supply. Find,Application
Obtain the expression for current flowing through Inductor in series RL circuit and voltage across capacitor in series RC circuit connected to a d.,Application
What is the difference between analog instruments and digital instruments?,Knowledge
Write short note on SPI protocol.,Knowledge
What are Pumps and Compressor used in Hydraulic and Pneumatic Systems?,Knowledge
Compare CMOS and TTL logic family.,Analysis
Draw the block diagram of LM317 and explain in detail.,Knowledge
Draw and explain in detail Pool boiling curve with significance of each point in the pool boiling.,Analysis
State and write properties of electrical carbon materials and materials used for Lamp Filaments.,Knowledge
Explain hydrograph and flow duration curve with example.,Knowledge
Find the angle between the tangents to the curve,Application
What are the fundamental requirements of residential building?,Knowledge
Explain speed control using v/f method.,Knowledge
Vector along the direction of the line.,Analysis
"Solve, ()( )( ) 26 19 2 ,kfk fk fk++ + + =  if () ( )01 0ff == .",Application
Show that.,Analysis
Explain the contents of Projet Feasibility report with example.,Knowledge
A bank maintains two kinds of accounts for customers.,Application
What is Radiation?,Knowledge
If .,Evaluation
What is fourier series.,Knowledge
Write short note on:,Knowledge
Explain with block diagram virtual instrumentation.,Knowledge
For the Inverting Schmitt trigger shown in fig.,Application
"Explain with sketch the fixed hair method of tacheometry, when line of sight is inclined downward (depression) and staff is held vertical?",Knowledge
Draw and explain General Selector Format.,Knowledge
What are different mechanisms of polarization?,Knowledge
What methods are used to measure microbial population.,Knowledge
Compare active filters and passive filters.,Knowledge
Explain grid connected renewable systems and their requipments.,Knowledge
Explain following pins of 8051.,Comprehension
Explain micro operations of CPU.,Knowledge
Describe Material Extrusion process in short.,Knowledge
Explain the Gauss Elimination method used for the solution of the linear simultaneous equation.,Comprehension
Explain necessity of nitrogeneous fertilizers produced from Ammonia.,Analysis
Explain the properties of line codes.,Comprehension
Derive the relation of power in wind and explain impact of tower height on power generation in wind  energy system.,Comprehension
Compare index sequential file and direct access file.,Analysis
Explain 3 position relative pole method for synthesis of four bar chain mechanism.,Knowledge
Compare between Thermosetting plastic and Thermoplastic plastic.,Analysis
What is Age Hardening.,Knowledge
Write a short note on Saytzeff rule.,Analysis
Draw and explain the ARM family core architecture.,Knowledge
Derive an expression for flux linkages due to signle current carrying conductor.,Analysis
What is mean by Constructor?,Knowledge
What is meant by reactance voltage in case of commutation in DC machine?,Knowledge
Obtain y-parameters of two port network for the given network in the fig.7.,Application
Find minimum spanning tree for the following graph using Prim ’s Algorithm.,Application
Apply the block digram reduction rules to reduce the following system into canonical form and determine its control ratio.,Knowledge
What do you mean by limit of proportionality or elastic limit?,Knowledge
Explain Additive colour theory and subtractive colour theory.,Knowledge
Explain various features of the 8051 Microcontroller.,Knowledge
Discuss following terms.,Knowledge
Prove that 242( )(l o g ) () .ba a rba r b rrr    ,Analysis
Draw neat diagram of 3 phase FWR with R load.,Knowledge
Draw single circular linked list with 5 nodes.,Knowledge
Use labeling procedure to find a maximum flow in the transport network given in the following figure.,Application
